,LAT,LON,COUNTY,STATE
156,51.761553864,20.132926374,Skierniewice County,Łódzkie Voivodship
157,53.236058949,20.480088269,Nidzica County,Warmian-Masurian Voivodeship
158,49.795109013,18.954806444,Bielsko County,Silesian Voivodeship
159,51.835403421,19.240885197,Zgierz County,Łódzkie Voivodship
160,51.416697489,19.271614425,Bełchatów County,Łódzkie Voivodship
161,52.235697207,19.442569532,Kutno County,Łódzkie Voivodship
162,52.035959075,18.988344399,Łęczyca County,Łódzkie Voivodship
163,50.460887532,18.769073786,Tarnowskie Góry County,Silesian Voivodeship
164,51.147035244,18.784490761,Pajęczno County,Łódzkie Voivodship
165,50.152711418,21.059057961,Dąbrowa County,Lesser Poland Voivodeship
166,51.868958639,19.042688246,Poddębice County,Łódzkie Voivodship
167,51.940218604,19.057103924,Poddębice County,Łódzkie Voivodship
168,53.640979949,19.296720902,Iława County,Warmian-Masurian Voivodeship
169,50.520341157,20.432195324,Pińczów County,Świętokrzyskie Voivodeship
170,50.635732505,21.317085022,Staszów County,Świętokrzyskie Voivodeship
171,50.742120504,21.343096463,Opatów County,Świętokrzyskie Voivodeship
172,53.240156756,19.330419725,Brodnica County,Kuyavian-Pomeranian Voivodeship
173,53.430737721,21.90108808,Kolno County,Podlaskie Voivodeship
174,51.532259524,19.848380016,Piotrków County,Łódzkie Voivodship
175,50.854054561,21.313026079,Opatów County,Świętokrzyskie Voivodeship
176,50.23079463,19.603056824,Olkusz County,Lesser Poland Voivodeship
177,51.712547577,19.858592955,County Lodzki,Łódzkie Voivodship
178,54.195850951,21.312315803,Kętrzyn County,Warmian-Masurian Voivodeship
179,50.780357831,21.323727891,Opatów County,Świętokrzyskie Voivodeship
180,53.345209568,22.029622278,Kolno County,Podlaskie Voivodeship
181,53.205760315,20.200088241,Działdowo County,Warmian-Masurian Voivodeship
182,53.29806694,21.955319089,Kolno County,Podlaskie Voivodeship
183,50.251185017,22.391369909,Leżajsk County,Subcarpathian Voivodeship
184,50.940662247,22.577014443,Lublin County,Lublin Voivodeship
185,51.205700933,22.650251673,Lublin County,Lublin Voivodeship
186,52.988205684,23.171879781,Białystok County,Podlaskie Voivodeship
187,53.390328322,23.32768769,Sokółka County,Podlaskie Voivodeship
188,51.172375305,23.427531835,Chełm County,Lublin Voivodeship
189,54.129731344,22.724152771,Suwałki County,Podlaskie Voivodeship
190,52.960809604,23.254484348,Białystok County,Podlaskie Voivodeship
191,53.436588504,23.403698773,Sokółka County,Podlaskie Voivodeship
192,51.208798173,22.621992135,Lublin County,Lublin Voivodeship
193,53.44976035,23.28507705,Sokółka County,Podlaskie Voivodeship
194,53.040941431,22.33806845,Zambrów County,Podlaskie Voivodeship
195,50.19741136,23.032694498,Lubaczów County,Subcarpathian Voivodeship
196,50.268027913,23.052354145,Lubaczów County,Subcarpathian Voivodeship
197,53.888845431,22.588447436,Ełk County,Warmian-Masurian Voivodeship
198,52.840459185,22.340995869,Wysokie Mazowieckie County,Podlaskie Voivodeship
199,50.677170286,23.138916843,Zamość County,Lublin Voivodeship
200,52.648330781,22.947905138,Bielsk County,Podlaskie Voivodeship
201,51.672436137,23.518441919,Włodawa County,Lublin Voivodeship
202,50.875913808,23.311622663,Zamość County,Lublin Voivodeship
203,50.893549148,23.316743518,Zamość County,Lublin Voivodeship
204,51.108941784,22.536229951,Lublin County,Lublin Voivodeship
205,51.300230635,22.618269688,Lublin County,Lublin Voivodeship
206,52.536091067,22.974516442,Siemiatycze County,Podlaskie Voivodeship
207,51.186091058,18.503596533,Wieluń County,Łódzkie Voivodship
208,51.483355552,19.343369959,Bełchatów County,Łódzkie Voivodship
209,51.799683611,21.110175325,Grójec County,Masovian Voivodeship
210,52.521159047,18.790339269,Włocławek County,Kuyavian-Pomeranian Voivodeship
211,50.102658596,19.182009463,Bieruń-Lędziny County,Silesian Voivodeship
212,50.908895977,19.284204658,Częstochowa County,Silesian Voivodeship
213,51.033571465,19.309351852,Częstochowa County,Silesian Voivodeship
214,51.318502061,19.367466453,Bełchatów County,Łódzkie Voivodship
215,51.371272717,21.034107353,Radom County,Masovian Voivodeship
216,53.558959268,18.9436834,Grudziądz County,Kuyavian-Pomeranian Voivodeship
217,51.665501602,18.622863515,Sieradz County,Łódzkie Voivodship
218,50.643370356,22.956507679,Zamość County,Lublin Voivodeship
219,51.811055215,23.264774905,Biała Podlaska County,Lublin Voivodeship
220,53.327260193,22.207578506,Kolno County,Podlaskie Voivodeship
221,54.084031662,22.461271627,Olecko County,Warmian-Masurian Voivodeship
222,52.674598401,22.534331065,Wysokie Mazowieckie County,Podlaskie Voivodeship
223,53.133755495,22.66891625,Wysokie Mazowieckie County,Podlaskie Voivodeship
224,51.296063641,22.821398206,Łęczna County,Lublin Voivodeship
225,51.257604036,22.839692315,Świdnik County,Lublin Voivodeship
226,53.482797791,23.479883498,Sokółka County,Podlaskie Voivodeship
227,50.761505936,23.509743855,Zamość County,Lublin Voivodeship
228,49.781778715,21.676722206,Krosno County,Subcarpathian Voivodeship
229,51.219166394,22.013708238,Opole Lubelskie County,Lublin Voivodeship
230,52.951900279,22.494074312,Wysokie Mazowieckie County,Podlaskie Voivodeship
231,49.560543219,21.706978784,Krosno County,Subcarpathian Voivodeship
232,53.175306211,22.620382278,Białystok County,Podlaskie Voivodeship
233,50.447058493,23.849137249,Tomaszów Lubelski County,Lublin Voivodeship
234,51.113453379,19.873652164,Piotrków County,Łódzkie Voivodship
235,54.217169372,21.47366125,Kętrzyn County,Warmian-Masurian Voivodeship
236,53.286597168,19.431399489,Brodnica County,Kuyavian-Pomeranian Voivodeship
237,52.434418596,19.218025759,Włocławek County,Kuyavian-Pomeranian Voivodeship
238,50.672321866,23.022253081,Zamość County,Lublin Voivodeship
239,50.384693067,21.284802967,Mielec County,Subcarpathian Voivodeship
240,51.979630406,21.686588747,Garwolin County,Masovian Voivodeship
241,50.464474902,20.448225791,Pińczów County,Świętokrzyskie Voivodeship
242,49.738918305,18.748488591,Cieszyn County,Silesian Voivodeship
243,49.907943038,19.566008035,Wadowice County,Lesser Poland Voivodeship
244,50.477660504,19.682104202,Zawiercie County,Silesian Voivodeship
245,49.988980386,19.244476085,Oświęcim County,Lesser Poland Voivodeship
246,50.40328657,20.121600256,powiat miechowski,Lesser Poland Voivodeship
247,51.167999959,21.071857457,Starachowice County,Świętokrzyskie Voivodeship
248,51.277151235,21.069359421,Radom County,Masovian Voivodeship
249,53.93189345,21.796691735,Giżycko County,Warmian-Masurian Voivodeship
250,49.964535636,18.396563986,Wodzisław County,Silesian Voivodeship
251,50.451659843,20.189007513,powiat miechowski,Lesser Poland Voivodeship
252,52.356789253,19.735392192,Płock County,Masovian Voivodeship
253,53.192584238,19.924629998,Działdowo County,Warmian-Masurian Voivodeship
254,50.667508688,20.207670682,Jędrzejów County,Świętokrzyskie Voivodeship
255,50.390442823,20.06196255,powiat miechowski,Lesser Poland Voivodeship
256,51.569966553,18.691896588,Sieradz County,Łódzkie Voivodship
257,53.066915496,18.991722218,Golub-Dobrzyń County,Kuyavian-Pomeranian Voivodeship
258,53.494377464,19.082089478,Grudziądz County,Kuyavian-Pomeranian Voivodeship
259,52.712815231,18.888659441,Włocławek County,Kuyavian-Pomeranian Voivodeship
260,53.318512769,19.014363179,Wąbrzeźno County,Kuyavian-Pomeranian Voivodeship
261,50.941341258,22.403554415,Kraśnik County,Lublin Voivodeship
262,54.180693653,22.584001225,Suwałki County,Podlaskie Voivodeship
263,49.889008602,22.862707962,Jarosław County,Subcarpathian Voivodeship
264,50.843714422,21.598506808,Opatów County,Świętokrzyskie Voivodeship
265,51.141895526,22.399966853,Lublin County,Lublin Voivodeship
266,51.318669784,22.448304808,Lublin County,Lublin Voivodeship
267,51.389369793,22.46776932,Lublin County,Lublin Voivodeship
268,53.595958826,23.115770699,Sokółka County,Podlaskie Voivodeship
269,51.086165628,23.227502913,Chełm County,Lublin Voivodeship
270,52.041966038,21.969419822,Siedlce County,Masovian Voivodeship
271,50.850318742,22.234650085,Kraśnik County,Lublin Voivodeship
272,50.999019891,23.812559202,Chełm County,Lublin Voivodeship
273,51.041862896,22.314835142,Lublin County,Lublin Voivodeship
274,51.129516266,23.007210792,Świdnik County,Lublin Voivodeship
275,52.772600093,23.468569678,Hajnówka County,Podlaskie Voivodeship
276,51.153997233,22.287006563,Lublin County,Lublin Voivodeship
277,52.712045036,22.695762408,Bielsk County,Podlaskie Voivodeship
278,52.906240709,22.753072858,Białystok County,Podlaskie Voivodeship
279,52.620637729,22.699064979,Siemiatycze County,Podlaskie Voivodeship
280,52.511608575,23.357558518,Hajnówka County,Podlaskie Voivodeship
281,50.698692905,23.577959983,Zamość County,Lublin Voivodeship
282,50.477245849,23.599346572,Tomaszów Lubelski County,Lublin Voivodeship
283,52.668410542,22.592706022,Wysokie Mazowieckie County,Podlaskie Voivodeship
284,50.741553456,23.677332177,Hrubieszów County,Lublin Voivodeship
285,53.039224953,22.701618031,Wysokie Mazowieckie County,Podlaskie Voivodeship
286,51.336861493,22.278215501,Lublin County,Lublin Voivodeship
287,50.915802254,22.801724687,Krasnystaw County,Lublin Voivodeship
288,53.456483914,22.888302588,Mońki County,Podlaskie Voivodeship
289,52.39477535,23.261868411,Siemiatycze County,Podlaskie Voivodeship
290,51.511064017,19.669114449,Piotrków County,Łódzkie Voivodship
291,53.266595842,20.12367104,Działdowo County,Warmian-Masurian Voivodeship
292,51.264279737,19.58781302,Piotrków County,Łódzkie Voivodship
293,51.892826976,19.868960682,Brzeziny County,Łódzkie Voivodship
294,51.9663926,19.855827535,Łowicz County,Łódzkie Voivodship
295,52.390710193,19.980441429,Płock County,Masovian Voivodeship
296,50.51353308,18.551535332,Gliwice County,Silesian Voivodeship
297,51.226930776,18.684349248,Wieluń County,Łódzkie Voivodship
298,52.545864443,18.943976461,Włocławek County,Kuyavian-Pomeranian Voivodeship
299,54.146291395,19.316946155,Elbląg County,Warmian-Masurian Voivodeship
300,53.365218958,19.115184281,Brodnica County,Kuyavian-Pomeranian Voivodeship
301,53.543289048,19.153462693,Grudziądz County,Kuyavian-Pomeranian Voivodeship
302,54.201997,19.298534781,Nowy Dwór Gdański County,Pomeranian Voivodeship
303,54.059673519,21.213203718,Kętrzyn County,Warmian-Masurian Voivodeship
304,51.402575244,21.274791185,Radom County,Masovian Voivodeship
305,50.446657261,20.244867382,powiat miechowski,Lesser Poland Voivodeship
306,50.518671431,18.723031818,Tarnowskie Góry County,Silesian Voivodeship
307,51.668099995,15.977255518,Głogów County,Lower Silesian Voivodeship
308,49.938857692,22.904618773,Jarosław County,Subcarpathian Voivodeship
309,54.097573044,22.683121006,Suwałki County,Podlaskie Voivodeship
310,50.740303794,17.366502981,Brzeg County,Opole Voivodeship
311,50.738202748,20.022702773,Włoszczowa County,Świętokrzyskie Voivodeship
312,50.345934824,19.740092227,Olkusz County,Lesser Poland Voivodeship
313,54.208171253,19.454656502,Elbląg,Warmian-Masurian Voivodeship
314,52.672330742,17.361577104,Gniezno County,Greater Poland Voivodeship
315,54.153436156,16.021971612,Koszalin County,West Pomeranian Voivodeship
316,52.717507521,18.322695749,Inowrocław County,Kuyavian-Pomeranian Voivodeship
317,53.004545879,19.09896308,Golub-Dobrzyń County,Kuyavian-Pomeranian Voivodeship
318,52.250922383,19.919224537,Łowicz County,Łódzkie Voivodship
319,52.493723434,18.161589698,Konin County,Greater Poland Voivodeship
320,50.286185433,17.408425198,Nysa County,Opole Voivodeship
321,53.474529224,20.020978475,Ostróda County,Warmian-Masurian Voivodeship
322,50.659183594,18.777834787,Lubliniec County,Silesian Voivodeship
323,53.380352743,16.33518413,Wałcz County,West Pomeranian Voivodeship
324,51.575675886,21.727878124,Ryki County,Lublin Voivodeship
325,51.455304411,19.68629,Piotrków County,Łódzkie Voivodship
326,53.867210456,15.187883756,Gryfice County,West Pomeranian Voivodeship
327,52.698614333,21.00925674,Pułtusk County,Masovian Voivodeship
328,50.816827092,17.578486229,Brzeg County,Opole Voivodeship
329,50.109367523,19.098684005,Bieruń-Lędziny County,Silesian Voivodeship
330,53.745591662,15.081759702,Goleniów County,West Pomeranian Voivodeship
331,51.225043089,15.057757385,Zgorzelec County,Lower Silesian Voivodeship
332,51.132877042,21.613863485,Lipsko County,Masovian Voivodeship
333,50.38730689,19.890747953,powiat miechowski,Lesser Poland Voivodeship
334,50.452963495,23.649700687,Tomaszów Lubelski County,Lublin Voivodeship
335,51.780339315,19.697781307,Brzeziny County,Łódzkie Voivodship
336,53.33108377,22.697293451,Mońki County,Podlaskie Voivodeship
337,51.202427291,19.459247744,Radomsko County,Łódzkie Voivodship
338,51.333911787,18.704712543,Wieluń County,Łódzkie Voivodship
339,50.247369565,19.833024745,Kraków County,Lesser Poland Voivodeship
340,51.109279315,18.316712089,Olesno County,Opole Voivodeship
341,53.132950455,18.583639536,Toruń County,Kuyavian-Pomeranian Voivodeship
342,51.718857118,16.042076402,Głogów County,Lower Silesian Voivodeship
343,50.525052545,18.638923608,Tarnowskie Góry County,Silesian Voivodeship
344,54.165999488,21.242038335,Kętrzyn County,Warmian-Masurian Voivodeship
345,50.515628965,19.661484643,Zawiercie County,Silesian Voivodeship
346,51.156282692,17.634393685,Namysłów County,Opole Voivodeship
347,52.633015267,17.117291525,Wągrowiec County,Greater Poland Voivodeship
348,50.641262045,24.051752958,Hrubieszów County,Lublin Voivodeship
349,51.124303575,21.698659526,Lipsko County,Masovian Voivodeship
350,50.738033776,18.450012301,Olesno County,Opole Voivodeship
351,53.236052407,19.148116395,Brodnica County,Kuyavian-Pomeranian Voivodeship
352,51.563524639,18.777905954,Sieradz County,Łódzkie Voivodship
353,53.012905255,20.335211889,Mława County,Masovian Voivodeship
354,50.415100752,17.910074111,Krapkowice County,Opole Voivodeship
355,52.364286489,17.664650522,Września County,Greater Poland Voivodeship
356,50.006367497,18.319622801,Wodzisław County,Silesian Voivodeship
357,53.486345716,22.253563927,Grajewo County,Podlaskie Voivodeship
358,52.087188718,19.028133959,Łęczyca County,Łódzkie Voivodship
359,51.561994919,16.281827703,Lubin County,Lower Silesian Voivodeship
360,50.621719267,19.027311399,Lubliniec County,Silesian Voivodeship
361,52.14614419,16.804280818,Śrem County,Greater Poland Voivodeship
362,50.724741003,23.816888695,Hrubieszów County,Lublin Voivodeship
363,50.842180785,17.182764708,Strzelin County,Lower Silesian Voivodeship
364,51.229001186,23.094053367,Chełm County,Lublin Voivodeship
365,51.512012066,18.245265113,Ostrzeszów County,Greater Poland Voivodeship
366,50.407369568,19.440305761,Zawiercie County,Silesian Voivodeship
367,50.401028463,19.297051619,Zawiercie County,Silesian Voivodeship
368,50.570756986,20.072296148,Jędrzejów County,Świętokrzyskie Voivodeship
369,51.25396877,21.12178945,Radom County,Masovian Voivodeship
370,51.271208998,15.982946037,Legnica County,Lower Silesian Voivodeship
371,51.773769204,23.430952424,Biała Podlaska County,Lublin Voivodeship
372,51.795787481,22.581148832,Radzyń Podlaski County,Lublin Voivodeship
373,52.582887664,17.049820911,Poznań County,Greater Poland Voivodeship
374,50.893783761,22.506341175,Janów Lubelski County,Lublin Voivodeship
375,54.16001268,19.134618148,Nowy Dwór Gdański County,Pomeranian Voivodeship
376,52.039890709,19.400989582,Łęczyca County,Łódzkie Voivodship
377,51.338276597,21.375225736,Radom County,Masovian Voivodeship
378,51.424884893,17.390045884,Milicz County,Lower Silesian Voivodeship
379,53.500856642,19.235564014,Nowe Miasto County,Warmian-Masurian Voivodeship
380,53.552287679,19.033606264,Grudziądz County,Kuyavian-Pomeranian Voivodeship
381,49.811503425,21.74040159,Strzyżów County,Subcarpathian Voivodeship
382,52.036570551,19.665214428,Łowicz County,Łódzkie Voivodship
383,54.497594388,16.692207566,Sławno County,West Pomeranian Voivodeship
384,54.496408032,17.933764745,Wejherowo County,Pomeranian Voivodeship
385,52.367692153,18.907783573,Włocławek County,Kuyavian-Pomeranian Voivodeship
386,50.304056769,17.947969776,Kędzierzyn-Koźle County,Opole Voivodeship
387,51.194257976,19.775447529,Piotrków County,Łódzkie Voivodship
388,51.745605847,16.220113532,Wschowa County,Lubusz Voivodeship
389,54.623612546,17.335276722,Słupsk County,Pomeranian Voivodeship
390,51.647171353,14.872963693,Żary County,Lubusz Voivodeship
391,52.151142789,16.716946822,Kościan County,Greater Poland Voivodeship
392,52.860495104,22.497753307,Wysokie Mazowieckie County,Podlaskie Voivodeship
393,51.894370675,21.811680246,Garwolin County,Masovian Voivodeship
394,50.275331014,20.917367991,Dąbrowa County,Lesser Poland Voivodeship
395,52.534646192,16.301643912,Szamotuły County,Greater Poland Voivodeship
396,53.952022111,19.488883266,Elbląg County,Warmian-Masurian Voivodeship
397,50.986358225,16.890169159,Wrocław County,Lower Silesian Voivodeship
398,51.157082282,21.185109119,Radom County,Masovian Voivodeship
399,53.424307906,23.185038887,Sokółka County,Podlaskie Voivodeship
400,52.623724495,18.870531008,Włocławek County,Kuyavian-Pomeranian Voivodeship
