,LAT,LON,COUNTY,STATE
0,49.999991692,22.523954953,Przeworsk County,Subcarpathian Voivodeship
1,53.463956144,17.104131138,Złotów County,Greater Poland Voivodeship
2,50.910953918,18.796913024,Kłobuck County,Silesian Voivodeship
3,49.838734283,18.626610947,Cieszyn County,Silesian Voivodeship
4,51.853363465,19.010255125,Poddębice County,Łódzkie Voivodship
5,52.858947838,14.263595714,Gryfino County,West Pomeranian Voivodeship
6,53.412815535,14.378894384,Police County,West Pomeranian Voivodeship
7,51.585926496,15.44518109,Żagań County,Lubusz Voivodeship
8,54.021903144,15.758025485,Białogard County,West Pomeranian Voivodeship
9,53.384653436,15.099115121,Stargard County,West Pomeranian Voivodeship
10,54.010557279,15.20561507,Gryfice County,West Pomeranian Voivodeship
11,51.625612784,14.957519027,Żary County,Lubusz Voivodeship
12,53.859338331,14.94308949,Kamień County,West Pomeranian Voivodeship
13,52.677441241,14.779365231,Gorzów County,Lubusz Voivodeship
14,53.278391333,14.605566565,Gryfino County,West Pomeranian Voivodeship
15,53.297458525,14.577547508,Gryfino County,West Pomeranian Voivodeship
16,53.791650128,15.269900539,Gryfice County,West Pomeranian Voivodeship
17,53.36033096,15.246851165,Stargard County,West Pomeranian Voivodeship
18,51.846786651,14.836339264,Żary County,Lubusz Voivodeship
19,53.495941925,15.021758701,Goleniów County,West Pomeranian Voivodeship
20,51.769109361,15.380060972,Zielona Góra County,Lubusz Voivodeship
21,54.044062503,15.669166337,Colberg County,West Pomeranian Voivodeship
22,53.968175763,15.353179401,Gryfice County,West Pomeranian Voivodeship
23,54.004005758,15.357754738,Gryfice County,West Pomeranian Voivodeship
24,52.520728105,14.644213943,Słubice County,Lubusz Voivodeship
25,53.906876783,15.101229673,Gryfice County,West Pomeranian Voivodeship
26,53.374317059,15.338985918,Stargard County,West Pomeranian Voivodeship
27,51.87547897,16.1505864,Wschowa County,Lubusz Voivodeship
28,53.877905622,16.807143041,Szczecinek County,West Pomeranian Voivodeship
29,54.060559635,15.702049559,Colberg County,West Pomeranian Voivodeship
30,51.081448185,15.815073162,Złotoryja County,Lower Silesian Voivodeship
31,53.786817689,16.822924198,Szczecinek County,West Pomeranian Voivodeship
32,52.941798676,15.73342048,Strzelce-Drezdenko County,Lubusz Voivodeship
33,51.581874622,15.531538921,Żagań County,Lubusz Voivodeship
34,54.105644893,15.892312374,Białogard County,West Pomeranian Voivodeship
35,51.352979291,15.791917432,Bolesławiec County,Lower Silesian Voivodeship
36,52.08869866,15.857692188,Zielona Góra County,Lubusz Voivodeship
37,54.210113435,15.96863609,Koszalin County,West Pomeranian Voivodeship
38,52.333114937,16.36133381,Nowy Tomyśl County,Greater Poland Voivodeship
39,50.721413058,16.481022661,Wałbrzych County,Lower Silesian Voivodeship
40,52.634128332,16.464298979,Szamotuły County,Greater Poland Voivodeship
41,51.277790829,16.530704152,Wołów County,Lower Silesian Voivodeship
42,51.295684951,16.533256198,Wołów County,Lower Silesian Voivodeship
43,51.669567616,15.948428318,Głogów County,Lower Silesian Voivodeship
44,51.806329596,16.75283214,Leszno County,Greater Poland Voivodeship
45,52.648811719,16.525838941,Szamotuły County,Greater Poland Voivodeship
46,52.88136582,16.560710523,Czarnków-Trzcianka County,Greater Poland Voivodeship
47,51.377173727,16.02565012,Polkowice County,Lower Silesian Voivodeship
48,52.469215177,16.174066208,Nowy Tomyśl County,Greater Poland Voivodeship
49,53.381916953,16.305230459,Wałcz County,West Pomeranian Voivodeship
50,52.040508331,16.758889805,Kościan County,Greater Poland Voivodeship
51,52.274677222,16.765096436,Poznań County,Greater Poland Voivodeship
52,51.054603757,16.327173926,Jawor County,Lower Silesian Voivodeship
53,50.808165497,17.434341434,Brzeg County,Opole Voivodeship
54,53.367174172,17.511112213,Sępólno County,Kuyavian-Pomeranian Voivodeship
55,52.233589305,17.730437088,Września County,Greater Poland Voivodeship
56,52.483572827,17.774323172,Gniezno County,Greater Poland Voivodeship
57,54.443143316,17.334121986,Słupsk County,Pomeranian Voivodeship
58,51.957554033,17.243612566,Jarocin County,Greater Poland Voivodeship
59,50.969093932,17.173836933,Oława County,Lower Silesian Voivodeship
60,51.7354075,17.615638993,Krotoszyn County,Greater Poland Voivodeship
61,51.142152684,17.574530945,Namysłów County,Opole Voivodeship
62,50.295840684,17.805316833,Głubczyce County,Opole Voivodeship
63,51.089128316,16.67602553,Środa Śląska County,Lower Silesian Voivodeship
64,51.733120437,16.770967447,Rawicz County,Greater Poland Voivodeship
65,51.116617357,16.823527993,Środa Śląska County,Lower Silesian Voivodeship
66,53.306587889,17.017677257,Złotów County,Greater Poland Voivodeship
67,54.369308104,18.219196923,Kartuzy County,Pomeranian Voivodeship
68,53.202707932,17.542558989,Nakło County,Kuyavian-Pomeranian Voivodeship
69,50.479146657,17.495529324,Nysa County,Opole Voivodeship
70,50.872287968,17.558961738,Brzeg County,Opole Voivodeship
71,51.015226765,17.582359247,Namysłów County,Opole Voivodeship
72,51.134655894,17.688312123,Namysłów County,Opole Voivodeship
73,51.825455643,18.156606923,Kalisz County,Greater Poland Voivodeship
74,52.467775584,18.275362193,Konin County,Greater Poland Voivodeship
75,52.646158841,18.309104661,Inowrocław County,Kuyavian-Pomeranian Voivodeship
76,50.767130791,17.228191098,Strzelin County,Lower Silesian Voivodeship
77,53.145545178,18.405392277,Toruń County,Kuyavian-Pomeranian Voivodeship
78,53.484679065,17.653112256,Sępólno County,Kuyavian-Pomeranian Voivodeship
79,52.057513056,17.083891568,Śrem County,Greater Poland Voivodeship
80,50.038069788,17.875377789,Głubczyce County,Opole Voivodeship
81,50.07379646,17.881295815,Głubczyce County,Opole Voivodeship
82,51.040016113,16.89817857,Wrocław County,Lower Silesian Voivodeship
83,51.102688699,17.625498496,Namysłów County,Opole Voivodeship
84,51.002409182,18.039142651,Kluczbork County,Opole Voivodeship
85,49.99847754,17.924989873,Głubczyce County,Opole Voivodeship
86,50.355682269,17.984972326,Krapkowice County,Opole Voivodeship
87,51.131137016,16.883114656,Wrocław,Lower Silesian Voivodeship
88,50.929306079,16.938866935,Wrocław County,Lower Silesian Voivodeship
89,50.672398976,17.298869812,Brzeg County,Opole Voivodeship
90,51.480310662,17.370091941,Milicz County,Lower Silesian Voivodeship
91,52.963044,17.620560817,Nakło County,Kuyavian-Pomeranian Voivodeship
92,52.734937544,17.223228972,Wągrowiec County,Greater Poland Voivodeship
93,50.171217059,18.038410906,Głubczyce County,Opole Voivodeship
94,50.349783715,18.068852759,Kędzierzyn-Koźle County,Opole Voivodeship
95,50.867512526,18.158775711,Kluczbork County,Opole Voivodeship
96,51.281790578,17.078646216,Trzebnica County,Lower Silesian Voivodeship
97,51.11739112,18.203081769,Kluczbork County,Opole Voivodeship
98,50.407294039,18.022060726,Krapkowice County,Opole Voivodeship
99,52.49106915,18.457776204,Radziejów County,Kuyavian-Pomeranian Voivodeship
100,52.621842787,17.590793514,Gniezno County,Greater Poland Voivodeship
101,54.071616943,18.3450668,Kościerzyna County,Pomeranian Voivodeship
102,53.660359358,17.441344315,Człuchów County,Pomeranian Voivodeship
103,50.906576991,17.307125749,Oława County,Lower Silesian Voivodeship
104,50.802404277,16.948434256,Strzelin County,Lower Silesian Voivodeship
105,51.767993078,17.096569344,Gostyń County,Greater Poland Voivodeship
106,52.378762194,17.992405753,Słupca County,Greater Poland Voivodeship
107,52.717854735,18.054426661,Inowrocław County,Kuyavian-Pomeranian Voivodeship
108,50.918406645,17.680969701,Brzeg County,Opole Voivodeship
109,53.21746843,18.147995338,Bydgoszcz County,Kuyavian-Pomeranian Voivodeship
110,54.019517182,21.449936943,Kętrzyn County,Warmian-Masurian Voivodeship
111,52.714711453,19.337030456,Lipno County,Kuyavian-Pomeranian Voivodeship
112,49.985176369,19.72236189,Kraków County,Lesser Poland Voivodeship
113,52.114251235,17.621549922,Jarocin County,Greater Poland Voivodeship
114,50.430130635,19.814459785,Olkusz County,Lesser Poland Voivodeship
115,52.210900608,16.931836614,Poznań County,Greater Poland Voivodeship
116,50.988427079,18.237523798,Kluczbork County,Opole Voivodeship
117,52.683015703,18.554556976,Radziejów County,Kuyavian-Pomeranian Voivodeship
118,52.718673853,18.561554145,Aleksandrów County,Kuyavian-Pomeranian Voivodeship
119,51.38366721,17.470068717,Oleśnica County,Lower Silesian Voivodeship
120,50.038306147,18.128381552,Racibórz County,Silesian Voivodeship
121,50.270413132,18.168286658,Kędzierzyn-Koźle County,Opole Voivodeship
122,51.776726919,17.535149572,Krotoszyn County,Greater Poland Voivodeship
123,52.080401837,17.58640263,Jarocin County,Greater Poland Voivodeship
124,51.333683553,17.115536312,Trzebnica County,Lower Silesian Voivodeship
125,51.623150423,17.945571294,Ostrów Wielkopolski County,Greater Poland Voivodeship
126,52.645244492,18.576946637,Radziejów County,Kuyavian-Pomeranian Voivodeship
127,50.964486835,18.319293682,Kluczbork County,Opole Voivodeship
128,51.481885803,18.413842179,Sieradz County,Łódzkie Voivodship
129,52.373578777,18.583226546,Konin County,Greater Poland Voivodeship
130,51.841261853,21.797611878,Garwolin County,Masovian Voivodeship
131,50.433086499,18.168198512,Strzelce County,Opole Voivodeship
132,52.14268457,19.245796547,Łęczyca County,Łódzkie Voivodship
133,51.022093136,18.272254771,Kluczbork County,Opole Voivodeship
134,51.039938436,18.275459269,Kluczbork County,Opole Voivodeship
135,52.979390251,19.424284359,Rypin County,Kuyavian-Pomeranian Voivodeship
136,53.552291404,19.734384442,Iława County,Warmian-Masurian Voivodeship
137,53.605643601,19.746678081,Iława County,Warmian-Masurian Voivodeship
138,53.348381735,19.566390329,Nowe Miasto County,Warmian-Masurian Voivodeship
139,53.579651688,19.618655275,Iława County,Warmian-Masurian Voivodeship
140,53.361426814,19.630012332,Nowe Miasto County,Warmian-Masurian Voivodeship
141,53.233466907,20.509768506,Nidzica County,Warmian-Masurian Voivodeship
142,53.339987382,20.536063051,Nidzica County,Warmian-Masurian Voivodeship
143,52.754146337,19.524970507,Sierpc County,Masovian Voivodeship
144,52.289632051,20.313271445,Sochaczew County,Masovian Voivodeship
145,53.038832415,19.587857556,Rypin County,Kuyavian-Pomeranian Voivodeship
146,52.968576633,21.22910742,Maków County,Masovian Voivodeship
147,53.213114591,20.535066525,Mława County,Masovian Voivodeship
148,50.264381916,18.251997781,Kędzierzyn-Koźle County,Opole Voivodeship
149,50.478571696,18.289641801,Strzelce County,Opole Voivodeship
150,50.224750181,19.884945742,Kraków County,Lesser Poland Voivodeship
151,53.189202898,18.806075826,Wąbrzeźno County,Kuyavian-Pomeranian Voivodeship
152,49.911591985,19.735465219,Wadowice County,Lesser Poland Voivodeship
153,52.433997567,21.121492924,Wołomin County,Masovian Voivodeship
154,52.646748981,21.175834971,Pułtusk County,Masovian Voivodeship
155,54.167462411,21.615220246,Węgorzewo County,Warmian-Masurian Voivodeship
