,POINT_ID,LAT,LON,COUNTY,STATE,LC1,index_right,FID,LON_32633,LAT_32633
2052,48843034,50.145247349,17.893165139,Głubczyce County,Opole Voivodeship,unknown,0,0,706703.7037255024,5558788.035508272
3047,48843032,50.127384933,17.89019364,Głubczyce County,Opole Voivodeship,Common wheat,0,0,706568.382196173,5556794.181882332
3389,48883034,50.141369265,17.948848027,Głubczyce County,Opole Voivodeship,Sugar beet,0,0,710698.4233616532,5558512.752286263
