,POINT_ID,LAT,LON,COUNTY,STATE,LC1,geometry,index_right,FID
2052,48843034,50.145247349,17.893165139,Głubczyce County,Opole Voivodeship,unknown,POINT (17.893165139 50.145247349),0,0
3047,48843032,50.127384933,17.89019364,Głubczyce County,Opole Voivodeship,Common wheat,POINT (17.89019364 50.127384933),0,0
3389,48883034,50.141369265,17.948848027,Głubczyce County,Opole Voivodeship,Sugar beet,POINT (17.948848027 50.141369265),0,0
